Event Start Date,Event Title,Start Time,End Time,Location
12/15/2023,"Varsity Swimming & Diving (M) vs Mountain View, Archer & Shiloh",7:20 PM,,West Gwinnett Aquatic Center
12/15/2023,"Varsity Swimming & Diving (F) vs Mountain View, Archer & Shiloh",7:20 PM,,West Gwinnett Aquatic Center
12/16/2023,Varsity Basketball (M) vs Parkview,2:00 PM,,Duluth Main Gym
01/02/2023-01/03/2023,Teacher Workday,,,
1/4/2024,Second Semester Begins,,,
1/6/2024,Varsity Swimming & Diving (M) vs Seckinger,8:05 AM,,West Gwinnett Aquatic Center
1/6/2024,Varsity Swimming & Diving (F) vs Seckinger,8:05 AM,,West Gwinnett Aquatic Center
1/10/2024,9th Grade Basketball (M) vs Meadowcreek,4:00 PM,,Duluth Aux Gym
1/10/2024,9th Grade Basketball (M) vs Peachtree Ridge,6:30 PM,,Duluth Aux Gym
1/12/2024,JV Basketball (F) vs Discovery,4:00 PM,,Duluth Main Gym
1/12/2024,JV Basketball (M) vs Discovery,4:00 PM,,Duluth Aux Gym
1/12/2024,Varsity Basketball (F) vs Discovery,5:30 PM,,Duluth Main Gym
1/12/2024,Varsity Basketball (M) vs Discovery,7:00 PM,,Duluth Main Gym
1/12/2024,Varsity Swimming & Diving (M) vs Peachtree Ridge & Dacula,7:20 PM,,West Gwinnett Aquatic Center
1/12/2024,Varsity Swimming & Diving (F) vs Peachtree Ridge & Dacula,7:20 PM,,West Gwinnett Aquatic Center
1/15/2024,"Martin Luther King Jr Day, Student and Staff Holiday",7:15 AM,2:10 PM,
1/23/2024,JV Basketball (F) vs Norcross,4:00 PM,,Duluth Main Gym
1/23/2024,JV Basketballl (M) vs Norcross,4:00 PM,,Duluth Aux Gym
1/23/2024,Varsity Basketball (F) vs Norcross,5:30 PM,,Duluth Main Gym
1/23/2024,Varsity Basketball (M) vs Norcross,7:00 PM,,Duluth Main Gym
2/2/2024,Digital Learning Day (also referred to as a DLD or DLD day),,,
2/2/2024,Varsity Basketball (F) vs Berkmar,5:30 PM,,Duluth Main Gym
2/2/2024,Varsity Basketball (M) vs Berkmar,7:00 PM,,Duluth Main Gym
02/05/2024-02/09/2024,School Counselor Appreciation Week,,,
2/7/2024,National Signing Day,,,
2/7/2024,Varsity Basketball (M) vs Peachtree Ridge,7:00 PM,,Duluth Main Gym
2/9/2024,Varsity Basketball (F) vs Peachtree Ridge,5:30 PM,,Duluth Main Gym
2/15/2024,National SRO Appreciation Day,,,
02/15/2024-02/19/2024,Winter Break,,,
3/1/2024,International Night hosted by NHS!,6:00 PM,9:00 PM,Duluth Main Gym and Cafeteria
3/15/2024,Digital Learning Day (also referred to as a DLD or DLD day),,,
3/16/2024,Prom,,,
04/01/2024-04/05/2024,Spring Break,,,
4/24/2024,Administrative Professionals Day,,,
5/1/2024,National School Principal Day,,,
05/06/2024-05/10/2024,Teacher Appreciation Week,,,
05/20/2024-05/22/2024,Final Exams,,,
